id,filename,sources_id,info_id,last_updated,valid_from,valid_until
s_crbdn,eastern-cape-arbedeen,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cbrklys,eastern-cape-barklyeast,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cbthrst,eastern-cape-bathurst,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cbdfrd,eastern-cape-bedford,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cbrgrsd,eastern-cape-burgersdorp,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cbttrwr,eastern-cape-butterworth,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ccpstfr,eastern-cape-capestfrancisbay,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ccthcrt,eastern-cape-cathcart,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ccrdck,eastern-cape-cradock,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cdrdrch,eastern-cape-dordrecht,41,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_cdtyw,eastern-cape-dutywa,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cllt,eastern-cape-elliot,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cgrg,eastern-cape-george,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cgrfrnt,eastern-cape-graaf-reinet,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cgrhmst,eastern-cape-grahamstown,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_chfmyr,eastern-cape-hofmeyer,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_chmnsdr,eastern-cape-humansdorp,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ecindwe,eastern-cape-indwe,41,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_cjnsnvl,eastern-cape-jansenville,41,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_cjffrys,eastern-cape-jeffreysbay,41,42,2022-09-30 12:41:10,2022-07-16 14:39:38,
s_ckrkwd,eastern-cape-kirkwood,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_eckomga,eastern-cape-komga,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cldygry,eastern-cape-ladygrey,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cmclr,eastern-cape-maclear,41,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_cmrsll,eastern-cape-marselle,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cmttl,eastern-cape-matatiele,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cmbzn,eastern-cape-mbizana,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cmddlbr,eastern-cape-middelburg,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cmltn,eastern-cape-molteno,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cmthth,eastern-cape-mthatha,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cvstn,eastern-cape-oviston,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cpdd,eastern-cape-peddie,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cprtlfr,eastern-cape-portalfred,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cqnstwn,eastern-cape-queenstown,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_csmmrst,eastern-cape-sommerseteast,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cstrksk,eastern-cape-sterkskroon,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cstytlr,eastern-cape-steytlertville,41,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_cstfrnc,eastern-cape-stfrancisbay,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cstttrh,eastern-cape-stutterheim,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ctrkstd,eastern-cape-tarkastad,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ctbs,eastern-cape-teebus,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ecugie,eastern-cape-ugie,41,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_cmtt,eastern-cape-umtata,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_ctrstd,eastern-cape-venterstad,41,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_cwllwmr,eastern-cape-willowmore,41,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fsllnrd,free-state-allanridge,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsbthlh,free-state-bethlehem,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsbthl,free-state-bethulie,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsbshf,free-state-boshof,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsbthvl,free-state-bothaville,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsbrndf,free-state-brandfort,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsbltfn,free-state-bultfontein,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsclcln,free-state-clocolan,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fscrnl,free-state-cornelia,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsdlsvl,free-state-dealesville,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsdnysv,free-state-deneysville,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsdwtsd,free-state-dewetsdorp,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsdnbrg,free-state-edenburg,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsdnvll,free-state-edenville,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fskndvv,free-state-ek-ondv-van-alice,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsxclsr,free-state-excelsior,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsznzln,free-state-ezenzeleni,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsftngt,free-state-fatengtshentsho,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsfrsmg,free-state-fauresmigh,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsfcksb,free-state-ficksburg,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsflmng,free-state-flamingo,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsfrsbr,free-state-fouriesburg,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsfrnkf,free-state-frankfort,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsgrp,free-state-gariep,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsgrnvr,free-state-groenvoerlande,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fshrrsm,free-state-harrismith,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fshlbrn,free-state-heilbron,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fshnnnm,free-state-hennenman,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fshrtzg,free-state-hertzogville,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fshpstd,free-state-hoopstad,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsppng,free-state-ipopeng,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsjgrsf,free-state-jagersfontein,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fskstll,free-state-kestell,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fskfffn,free-state-koffiefontein,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fskpps,free-state-koppies,43,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_fskrnst,free-state-kroonstad,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fsldybr,free-state-ladybrand,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
s_fslsth,free-state-lesotho,43,42,2022-09-30 12:41:10,2022-07-14 17:11:38,
