day_of_week,start_time,finsh_time,stage
1,12:00,16:00,4
1,12:00,16:00,5
1,12:00,16:00,6
1,16:00,20:00,1
1,16:00,20:00,2
1,16:00,20:00,3
1,16:00,20:00,5
1,16:00,20:00,6
1,16:00,20:00,7
1,16:00,20:00,8
2,12:00,16:00,1
2,12:00,16:00,2
2,12:00,16:00,3
2,12:00,16:00,4
2,12:00,16:00,5
2,12:00,16:00,6
2,12:00,16:00,7
2,12:00,16:00,8
2,20:00,00:00,2
2,20:00,00:00,3
2,20:00,00:00,4
2,20:00,00:00,5
2,20:00,00:00,6
2,20:00,00:00,7
2,20:00,00:00,8
3,08:00,12:00,1
3,16:00,20:00,5
3,16:00,20:00,6
3,16:00,20:00,7
3,20:00,00:00,5
3,20:00,00:00,6
4,04:00,08:00,6
4,08:00,12:00,2
4,08:00,12:00,3
4,08:00,12:00,4
4,20:00,00:00,8
5,12:00,16:00,7
5,12:00,16:00,8
6,00:00,04:00,1
6,00:00,04:00,2
6,00:00,04:00,3
6,00:00,04:00,4
6,00:00,04:00,8
6,16:00,20:00,3
6,16:00,20:00,4
7,00:00,04:00,2
7,00:00,04:00,3
7,00:00,04:00,6
7,00:00,04:00,7
7,00:00,04:00,8
