start_time,finsh_time,date_of_month,stage
13:00,15:30,30,0
13:00,15:30,31,0
15:00,17:30,1,5
15:00,17:30,2,6
15:00,17:30,3,7
15:00,17:30,4,8
15:00,17:30,5,0
15:00,17:30,6,0
15:00,17:30,7,0
15:00,17:30,8,0
15:00,17:30,9,0
15:00,17:30,10,0
15:00,17:30,11,0
15:00,17:30,12,0
15:00,17:30,13,4
15:00,17:30,14,1
15:00,17:30,15,2
15:00,17:30,16,3
15:00,17:30,17,8
15:00,17:30,18,5
15:00,17:30,19,6
15:00,17:30,20,7
15:00,17:30,21,0
15:00,17:30,22,0
15:00,17:30,23,0
15:00,17:30,24,0
15:00,17:30,25,0
15:00,17:30,26,0
15:00,17:30,27,0
15:00,17:30,28,0
15:00,17:30,29,3
15:00,17:30,30,4
15:00,17:30,31,1
17:00,19:30,1,0
17:00,19:30,2,0
17:00,19:30,3,0
17:00,19:30,4,0
17:00,19:30,5,0
17:00,19:30,6,0
17:00,19:30,7,0
17:00,19:30,8,0
17:00,19:30,9,4
17:00,19:30,10,1
17:00,19:30,11,2
17:00,19:30,12,3
17:00,19:30,13,8
17:00,19:30,14,5
17:00,19:30,15,6
17:00,19:30,16,7
17:00,19:30,17,0
17:00,19:30,18,0
17:00,19:30,19,0
17:00,19:30,20,0
17:00,19:30,21,0
17:00,19:30,22,0
17:00,19:30,23,0
17:00,19:30,24,0
17:00,19:30,25,3
17:00,19:30,26,4
17:00,19:30,27,1
17:00,19:30,28,2
17:00,19:30,29,7
17:00,19:30,30,8
17:00,19:30,31,5
19:00,21:30,1,0
19:00,21:30,2,0
19:00,21:30,3,0
19:00,21:30,4,0
19:00,21:30,5,4
19:00,21:30,6,1
19:00,21:30,7,2
19:00,21:30,8,3
19:00,21:30,9,8
19:00,21:30,10,5
19:00,21:30,11,6
19:00,21:30,12,7
19:00,21:30,13,0
19:00,21:30,14,0
19:00,21:30,15,0
19:00,21:30,16,0
19:00,21:30,17,0
19:00,21:30,18,0
19:00,21:30,19,0
19:00,21:30,20,0
19:00,21:30,21,3
19:00,21:30,22,4
19:00,21:30,23,1
19:00,21:30,24,2
19:00,21:30,25,7
19:00,21:30,26,8
19:00,21:30,27,5
19:00,21:30,28,6
19:00,21:30,29,0
19:00,21:30,30,0
19:00,21:30,31,0
21:00,23:30,1,4
21:00,23:30,2,1
21:00,23:30,3,2
21:00,23:30,4,3
21:00,23:30,5,8
21:00,23:30,6,5
21:00,23:30,7,6
21:00,23:30,8,7
21:00,23:30,9,0
21:00,23:30,10,0
21:00,23:30,11,0
21:00,23:30,12,0
21:00,23:30,13,0
21:00,23:30,14,0
21:00,23:30,15,0
21:00,23:30,16,0
21:00,23:30,17,3
21:00,23:30,18,4
21:00,23:30,19,1
21:00,23:30,20,2
21:00,23:30,21,7
21:00,23:30,22,8
21:00,23:30,23,5
21:00,23:30,24,6
21:00,23:30,25,0
21:00,23:30,26,0
21:00,23:30,27,0
21:00,23:30,28,0
21:00,23:30,29,0
21:00,23:30,30,0
21:00,23:30,31,0
23:00,01:30,1,8
23:00,01:30,2,5
23:00,01:30,3,6
23:00,01:30,4,7
23:00,01:30,5,0
23:00,01:30,6,0
23:00,01:30,7,0
23:00,01:30,8,0
23:00,01:30,9,0
23:00,01:30,10,0
23:00,01:30,11,0
23:00,01:30,12,0
23:00,01:30,13,3
23:00,01:30,14,4
23:00,01:30,15,1
23:00,01:30,16,2
23:00,01:30,17,7
23:00,01:30,18,8
23:00,01:30,19,5
23:00,01:30,20,6
23:00,01:30,21,0
23:00,01:30,22,0
23:00,01:30,23,0
23:00,01:30,24,0
23:00,01:30,25,0
23:00,01:30,26,0
23:00,01:30,27,0
23:00,01:30,28,0
23:00,01:30,29,2
23:00,01:30,30,3
23:00,01:30,31,4
