start_time,finsh_time,date_of_month,stage
09:00,11:30,18,6
09:00,11:30,19,7
09:00,11:30,20,8
09:00,11:30,21,0
09:00,11:30,22,0
09:00,11:30,23,0
09:00,11:30,24,0
09:00,11:30,25,0
09:00,11:30,26,0
09:00,11:30,27,0
09:00,11:30,28,0
09:00,11:30,29,4
09:00,11:30,30,1
09:00,11:30,31,2
11:00,13:30,1,0
11:00,13:30,2,0
11:00,13:30,3,0
11:00,13:30,4,0
11:00,13:30,5,0
11:00,13:30,6,0
11:00,13:30,7,0
11:00,13:30,8,0
11:00,13:30,9,1
11:00,13:30,10,2
11:00,13:30,11,3
11:00,13:30,12,4
11:00,13:30,13,5
11:00,13:30,14,6
11:00,13:30,15,7
11:00,13:30,16,8
11:00,13:30,17,0
11:00,13:30,18,0
11:00,13:30,19,0
11:00,13:30,20,0
11:00,13:30,21,0
11:00,13:30,22,0
11:00,13:30,23,0
11:00,13:30,24,0
11:00,13:30,25,4
11:00,13:30,26,1
11:00,13:30,27,2
11:00,13:30,28,3
11:00,13:30,29,8
11:00,13:30,30,5
11:00,13:30,31,6
13:00,15:30,1,0
13:00,15:30,2,0
13:00,15:30,3,0
13:00,15:30,4,0
13:00,15:30,5,1
13:00,15:30,6,2
13:00,15:30,7,3
13:00,15:30,8,4
13:00,15:30,9,5
13:00,15:30,10,6
13:00,15:30,11,7
13:00,15:30,12,8
13:00,15:30,13,0
13:00,15:30,14,0
13:00,15:30,15,0
13:00,15:30,16,0
13:00,15:30,17,0
13:00,15:30,18,0
13:00,15:30,19,0
13:00,15:30,20,0
13:00,15:30,21,4
13:00,15:30,22,1
13:00,15:30,23,2
13:00,15:30,24,3
13:00,15:30,25,8
13:00,15:30,26,5
13:00,15:30,27,6
13:00,15:30,28,7
13:00,15:30,29,0
13:00,15:30,30,0
13:00,15:30,31,0
15:00,17:30,1,1
15:00,17:30,2,2
15:00,17:30,3,3
15:00,17:30,4,4
15:00,17:30,5,5
15:00,17:30,6,6
15:00,17:30,7,7
15:00,17:30,8,8
15:00,17:30,9,0
15:00,17:30,10,0
15:00,17:30,11,0
15:00,17:30,12,0
15:00,17:30,13,0
15:00,17:30,14,0
15:00,17:30,15,0
15:00,17:30,16,0
15:00,17:30,17,4
15:00,17:30,18,1
15:00,17:30,19,2
15:00,17:30,20,3
15:00,17:30,21,8
15:00,17:30,22,5
15:00,17:30,23,6
15:00,17:30,24,7
15:00,17:30,25,0
15:00,17:30,26,0
15:00,17:30,27,0
15:00,17:30,28,0
15:00,17:30,29,0
15:00,17:30,30,0
15:00,17:30,31,0
17:00,19:30,1,5
17:00,19:30,2,6
17:00,19:30,3,7
17:00,19:30,4,8
17:00,19:30,5,0
17:00,19:30,6,0
17:00,19:30,7,0
17:00,19:30,8,0
17:00,19:30,9,0
17:00,19:30,10,0
17:00,19:30,11,0
17:00,19:30,12,0
17:00,19:30,13,4
17:00,19:30,14,1
17:00,19:30,15,2
17:00,19:30,16,3
17:00,19:30,17,8
17:00,19:30,18,5
17:00,19:30,19,6
17:00,19:30,20,7
17:00,19:30,21,0
17:00,19:30,22,0
17:00,19:30,23,0
17:00,19:30,24,0
17:00,19:30,25,0
17:00,19:30,26,0
17:00,19:30,27,0
17:00,19:30,28,0
17:00,19:30,29,3
17:00,19:30,30,4
17:00,19:30,31,1
19:00,21:30,1,0
19:00,21:30,2,0
19:00,21:30,3,0
19:00,21:30,4,0
19:00,21:30,5,0
19:00,21:30,6,0
19:00,21:30,7,0
19:00,21:30,8,0
19:00,21:30,9,4
19:00,21:30,10,1
19:00,21:30,11,2
19:00,21:30,12,3
19:00,21:30,13,8
19:00,21:30,14,5
19:00,21:30,15,6
19:00,21:30,16,7
19:00,21:30,17,0
19:00,21:30,18,0
19:00,21:30,19,0
19:00,21:30,20,0
19:00,21:30,21,0
19:00,21:30,22,0
19:00,21:30,23,0
19:00,21:30,24,0
19:00,21:30,25,3
19:00,21:30,26,4
19:00,21:30,27,1
19:00,21:30,28,2
19:00,21:30,29,7
19:00,21:30,30,8
19:00,21:30,31,5
21:00,23:30,1,0
21:00,23:30,2,0
21:00,23:30,3,0
21:00,23:30,4,0
21:00,23:30,5,4
21:00,23:30,6,1
21:00,23:30,7,2
21:00,23:30,8,3
21:00,23:30,9,8
21:00,23:30,10,5
21:00,23:30,11,6
21:00,23:30,12,7
21:00,23:30,13,0
21:00,23:30,14,0
21:00,23:30,15,0
21:00,23:30,16,0
21:00,23:30,17,0
21:00,23:30,18,0
21:00,23:30,19,0
21:00,23:30,20,0
21:00,23:30,21,3
21:00,23:30,22,4
21:00,23:30,23,1
21:00,23:30,24,2
21:00,23:30,25,7
21:00,23:30,26,8
21:00,23:30,27,5
21:00,23:30,28,6
