_id,name,province,kind
,"Richtersveld","northern_cape","local"
,"Rustenburg","north_west","local"
,"Sakhisizwe","eastern_cape","local"
,"Saldanha Bay","western_cape","local"
,"Senqu","eastern_cape","local"
,"Setsoto","free_state","local"
,"Siyancuma","northern_cape","local"
,"Siyathemba","northern_cape","local"
,"Sol Plaatje","northern_cape","local"
,"Stellenbosch","western_cape","local"
,"Steve Tshwete","mpumalanga","local"
,"Sundays River Valley","eastern_cape","local"
,"Swartland","western_cape","local"
,"Swellendam","western_cape","local"
,"Thaba Chweu","mpumalanga","local"
,"Thabazimbi","limpopo","local"
,"Theewaterskloof","western_cape","local"
,"Thembelihle","northern_cape","local"
,"Thembisile Hani","mpumalanga","local"
,"Thulamela","limpopo","local"
,"Tokologo","free_state","local"
,"Tsantsabane","northern_cape","local"
,"Tswaing","north_west","local"
,"Tswelopele","free_state","local"
,"Ubuhlebezwe","kwazulu-natal","local"
,"Ubuntu","northern_cape","local"
,"Ulundi","kwazulu-natal","local"
,"Umdoni","kwazulu-natal","local"
,"uMfolozi","kwazulu-natal","local"
,"uMhlabuyalingana","kwazulu-natal","local"
,"uMhlathuze","kwazulu-natal","local"
,"uMlalazi","kwazulu-natal","local"
,"uMngeni","kwazulu-natal","local"
,"uMshwathi","kwazulu-natal","local"
,"Umsobomvu","northern_cape","local"
,"uMuziwabantu","kwazulu-natal","local"
,"Umvoti","kwazulu-natal","local"
,"Umzimkhulu","kwazulu-natal","local"
,"Umzimvubu","eastern_cape","local"
,"Umzumbe","kwazulu-natal","local"
,"uPhongolo","kwazulu-natal","local"
,"Victor Khanye","mpumalanga","local"
,"Walter Sisulu","eastern_cape","local"
,"Winnie Madikizela-Mandela","eastern_cape","local"
,"Witzenberg","western_cape","local"
,"Alfred Nzo","eastern_cape","district"
,"Amajuba","kwazulu-natal","district"
,"Amathole","eastern_cape","district"
,"Bojanala","north_west","district"
,"Cape Winelands","western_cape","district"
,"Capricorn","limpopo","district"
,"Central Karoo","western_cape","district"
,"Chris Hani","eastern_cape","district"
,"Dr Kenneth Kaunda","north_west","district"
,"Dr Ruth Segomotsi Mompati","north_west","district"
,"Ehlanzeni","mpumalanga","district"
,"Fezile Dabi","free_state","district"
,"Frances Baard","northern_cape","district"
,"Garden Route","western_cape","district"
,"Gert Sibande","mpumalanga","district"
,"Harry Gwala","kwazulu-natal","district"
,"iLembe","kwazulu-natal","district"
,"Joe Gqabi","eastern_cape","district"
,"John Taolo Gaetsewe","northern_cape","district"
,"King Cetshwayo","kwazulu-natal","district"
,"Lejweleputswa","free_state","district"
,"Mopani","limpopo","district"
,"Namakwa","northern_cape","district"
,"Ngaka Modiri Molema","north_west","district"
,"Nkangala","mpumalanga","district"
,"OR Tambo","eastern_cape","district"
,"Overberg","western_cape","district"
,"Pixley ka Seme","northern_cape","district"
,"Sarah Baartman","eastern_cape","district"
,"Sedibeng","gauteng","district"
,"Sekhukhune","limpopo","district"
,"Thabo Mofutsanyana","free_state","district"
,"Ugu","kwazulu-natal","district"
,"uMgungundlovu","kwazulu-natal","district"
,"uMkhanyakude","kwazulu-natal","district"
,"uMzinyathi","kwazulu-natal","district"
,"uThukela","kwazulu-natal","district"
,"Vhembe","limpopo","district"
,"Waterberg","limpopo","district"
,"West Coast","western_cape","district"
,"West Rand","gauteng","district"
,"Xhariep","free_state","district"
,"ZF Mgcawu","northern_cape","district"
,"Zululand","kwazulu-natal","district"
